name,value,timestep,step
NumTimesteps,40811,0,40
MaxRew,-11.337041021571624,0,40
MeanRew_lower,3.8787851754477933,0,40
MeanRew_upper,-15.42178979933306,0,40
MeanSlowdown,5.094932104752667,0,40
MeanLen+,136.03666666666666,0,40
MeanLen-,32.20593095827055,0,40
MeanEntropy,1.9890501,0,40
NumTrajs,300,0,41
NumTimesteps,40023,0,41
MaxRew,-11.427883693115428,0,41
MeanRew_lower,4.207879278530945,0,41
MeanRew_upper,-15.729547634768148,0,41
MeanSlowdown,5.16159534489029,0,41
MeanLen+,133.41,0,41
MeanLen-,26.56718339104342,0,41
MeanEntropy,2.026207,0,41
NumTrajs,300,0,42
NumTimesteps,45768,0,42
MaxRew,-11.990779729920368,0,42
MeanRew_lower,4.491547799836211,0,42
MeanRew_upper,-16.221961626645612,0,42
MeanSlowdown,5.321984435797665,0,42
MeanLen+,152.56,0,42
MeanLen-,66.38453434347491,0,42
MeanEntropy,1.9000943,0,42
NumTrajs,300,0,43
NumTimesteps,40202,0,43
MaxRew,-11.07042447193761,0,43
MeanRew_lower,4.277224460584461,0,43
MeanRew_upper,-15.767143169963129,0,43
MeanSlowdown,5.157575757575757,0,43
MeanLen+,134.00666666666666,0,43
MeanLen-,20.975540252610635,0,43
MeanEntropy,2.032791,0,43
NumTrajs,300,0,44
NumTimesteps,40104,0,44
MaxRew,-10.910933590478905,0,44
MeanRew_lower,4.32412669539382,0,44
MeanRew_upper,-15.416230495929133,0,44
MeanSlowdown,5.070787878787879,0,44
MeanLen+,133.68,0,44
MeanLen-,19.987602824417607,0,44
MeanEntropy,2.0387297,0,44
NumTrajs,300,0,45
NumTimesteps,40744,0,45
MaxRew,-11.065277828672244,0,45
MeanRew_lower,4.294053362440093,0,45
MeanRew_upper,-15.52753947137467,0,45
MeanSlowdown,5.058023792182569,0,45
MeanLen+,135.81333333333333,0,45
MeanLen-,36.19519059519127,0,45
MeanEntropy,2.0532498,0,45
NumTrajs,300,0,46
NumTimesteps,40955,0,46
MaxRew,-11.05787028281469,0,46
MeanRew_lower,4.774690668657481,0,46
MeanRew_upper,-15.939519599027554,0,46
MeanSlowdown,5.188235294117647,0,46
MeanLen+,136.51666666666668,0,46
MeanLen-,32.38615530679052,0,46
MeanEntropy,2.0070648,0,46
NumTrajs,300,0,47
NumTimesteps,41446,0,47
MaxRew,-10.981411145951077,0,47
MeanRew_lower,4.286060084622108,0,47
MeanRew_upper,-15.590781405202621,0,47
MeanSlowdown,5.13022917424518,0,47
MeanLen+,138.15333333333334,0,47
MeanLen-,34.57334940223306,0,47
MeanEntropy,1.9708717,0,47
NumTrajs,300,0,48
NumTimesteps,44274,0,48
MaxRew,-11.10415691455617,0,48
MeanRew_lower,4.6721610092533075,0,48
MeanRew_upper,-15.874821091528153,0,48
MeanSlowdown,5.341267913529269,0,48
MeanLen+,147.58,0,48
MeanLen-,59.15023471353826,0,48
MeanEntropy,1.9239017,0,48
NumTrajs,300,0,49
NumTimesteps,41325,0,49
MaxRew,-11.238836476842724,0,49
MeanRew_lower,4.234634982141992,0,49
MeanRew_upper,-15.71250599589275,0,49
MeanSlowdown,5.235265583313121,0,49
MeanLen+,137.75,0,49
MeanLen-,31.58851320759916,0,49
MeanEntropy,1.8916088,0,49
NumTrajs,300,0,50
NumTimesteps,39703,0,50
MaxRew,-10.530761715309454,0,50
MeanRew_lower,4.167365330655858,0,50
MeanRew_upper,-15.040700714278785,0,50
MeanSlowdown,4.958909090909091,0,50
MeanLen+,132.34333333333333,0,50
MeanLen-,21.99906336390004,0,50
MeanEntropy,2.028922,0,50
NumTrajs,300,0,51
NumTimesteps,40715,0,51
MaxRew,-10.917827235006756,0,51
MeanRew_lower,4.124367500464169,0,51
MeanRew_upper,-15.4900182619476,0,51
MeanSlowdown,5.1079049466537345,0,51
MeanLen+,135.71666666666667,0,51
MeanLen-,29.46709558511361,0,51
MeanEntropy,1.9733922,0,51
NumTrajs,300,0,52
NumTimesteps,40867,0,52
MaxRew,-11.285547862560161,0,52
MeanRew_lower,3.958977271002603,0,52
MeanRew_upper,-15.36285507699639,0,52
MeanSlowdown,5.095151515151515,0,52
MeanLen+,136.22333333333333,0,52
MeanLen-,25.286362376233996,0,52
MeanEntropy,2.069082,0,52
NumTrajs,300,0,53
NumTimesteps,40368,0,53
MaxRew,-10.951861191409353,0,53
MeanRew_lower,4.008040297955387,0,53
MeanRew_upper,-15.26721310985197,0,53
MeanSlowdown,4.949551297598836,0,53
MeanLen+,134.56,0,53
MeanLen-,31.09136643292904,0,53
MeanEntropy,2.0527194,0,53
NumTrajs,300,0,54
NumTimesteps,40625,0,54
MaxRew,-11.279555915979612,0,54
MeanRew_lower,4.117022114307457,0,54
MeanRew_upper,-15.45652563834203,0,54
MeanSlowdown,5.050787878787879,0,54
MeanLen+,135.41666666666666,0,54
MeanLen-,27.923640919876878,0,54
MeanEntropy,2.0559096,0,54
NumTrajs,300,0,55
NumTimesteps,41073,0,55
MaxRew,-10.930421812878118,0,55
MeanRew_lower,4.268833203365179,0,55
MeanRew_upper,-14.915933842840719,0,55
MeanSlowdown,4.951965065502184,0,55
MeanLen+,136.91,0,55
MeanLen-,34.64672038351298,0,55
MeanEntropy,1.9734194,0,55
NumTrajs,300,0,56
NumTimesteps,39646,0,56
MaxRew,-11.098817500882728,0,56
MeanRew_lower,3.9881098967966646,0,56
MeanRew_upper,-15.201750461875818,0,56
MeanSlowdown,5.001333656644035,0,56
MeanLen+,132.15333333333334,0,56
MeanLen-,25.925980962904543,0,56
MeanEntropy,2.0006025,0,56
NumTrajs,300,0,57
NumTimesteps,40687,0,57
MaxRew,-11.176834623075306,0,57
MeanRew_lower,4.209867559527428,0,57
MeanRew_upper,-15.35915668674162,0,57
MeanSlowdown,5.051055056997332,0,57
MeanLen+,135.62333333333333,0,57
MeanLen-,35.44133352770776,0,57
MeanEntropy,2.0160873,0,57
NumTrajs,300,0,58
NumTimesteps,40326,0,58
MaxRew,-11.508595336060395,0,58
MeanRew_lower,3.775048208030882,0,58
MeanRew_upper,-15.304238228741912,0,58
MeanSlowdown,5.188242424242424,0,58
MeanLen+,134.42,0,58
MeanLen-,21.501091445164672,0,58
MeanEntropy,1.9457906,0,58
NumTrajs,300,0,59
NumTimesteps,39919,0,59
MaxRew,-11.152470834428499,0,59
MeanRew_lower,3.9888342304209834,0,59
MeanRew_upper,-14.807857966320137,0,59
MeanSlowdown,4.944592628516004,0,59
MeanLen+,133.06333333333333,0,59
MeanLen-,27.651268606621933,0,59
MeanEntropy,2.0257924,0,59
NumTrajs,300,0,60
NumTimesteps,40305,0,60
MaxRew,-11.336722387625024,0,60
MeanRew_lower,4.171977259373242,0,60
MeanRew_upper,-15.350457054731038,0,60
MeanSlowdown,5.0077622801698,0,60
MeanLen+,134.35,0,60
MeanLen-,31.31603689272745,0,60
MeanEntropy,2.0508528,0,60
NumTrajs,300,0,61
NumTimesteps,39912,0,61
MaxRew,-10.680561329109453,0,61
MeanRew_lower,4.0102373579838115,0,61
MeanRew_upper,-14.9001938543097,0,61
MeanSlowdown,5.009217707701637,0,61
MeanLen+,133.04,0,61
MeanLen-,29.075964873643205,0,61
MeanEntropy,2.0439932,0,61
NumTrajs,300,0,62
NumTimesteps,39816,0,62
MaxRew,-11.013721245772794,0,62
MeanRew_lower,3.6463682685701246,0,62
MeanRew_upper,-14.671921684306938,0,62
MeanSlowdown,4.970424242424243,0,62
MeanLen+,132.72,0,62
MeanLen-,19.558159422604163,0,62
MeanEntropy,1.9931765,0,62
NumTrajs,300,0,63
NumTimesteps,39805,0,63
MaxRew,-11.148186716570518,0,63
MeanRew_lower,3.771331902251181,0,63
MeanRew_upper,-14.898718576458311,0,63
MeanSlowdown,4.941696969696969,0,63
MeanLen+,132.68333333333334,0,63
MeanLen-,20.907806888549764,0,63
MeanEntropy,2.0233746,0,63
NumTrajs,300,0,64
NumTimesteps,40703,0,64
MaxRew,-10.998798106591506,0,64
MeanRew_lower,3.967953817983277,0,64
MeanRew_upper,-15.024214546536765,0,64
MeanSlowdown,5.068484848484848,0,64
MeanLen+,135.67666666666668,0,64
MeanLen-,21.38127191934308,0,64
MeanEntropy,1.9428447,0,64
NumTrajs,300,0,65
NumTimesteps,40622,0,65
MaxRew,-11.213227204518978,0,65
MeanRew_lower,4.185674150169639,0,65
MeanRew_upper,-15.256850940523664,0,65
MeanSlowdown,5.009333333333333,0,65
MeanLen+,135.40666666666667,0,65
MeanLen-,21.742614582632164,0,65
MeanEntropy,2.078369,0,65
NumTrajs,300,0,66
NumTimesteps,40706,0,66
MaxRew,-11.072089223842951,0,66
MeanRew_lower,4.437313310236735,0,66
MeanRew_upper,-15.328715660935243,0,66
MeanSlowdown,5.05870936438622,0,66
MeanLen+,135.68666666666667,0,66
MeanLen-,34.5598296034894,0,66
MeanEntropy,2.0146446,0,66
NumTrajs,300,0,67
NumTimesteps,39579,0,67
MaxRew,-10.532493626952482,0,67
MeanRew_lower,3.867219638787359,0,67
MeanRew_upper,-14.880962313810093,0,67
MeanSlowdown,4.932363636363636,0,67
MeanLen+,131.93,0,67
MeanLen-,19.75968370192195,0,67
MeanEntropy,2.0154586,0,67
NumTrajs,300,0,68
NumTimesteps,40057,0,68
MaxRew,-10.577751140769546,0,68
MeanRew_lower,4.021277599686817,0,68
MeanRew_upper,-14.7375470017998,0,68
MeanSlowdown,4.940121212121212,0,68
MeanLen+,133.52333333333334,0,68
MeanLen-,21.73620916555803,0,68
MeanEntropy,2.0204651,0,68
NumTrajs,300,0,69
NumTimesteps,41012,0,69
MaxRew,-11.180236521864352,0,69
MeanRew_lower,4.292149671448124,0,69
MeanRew_upper,-15.480630215736054,0,69
MeanSlowdown,5.161693352741388,0,69
MeanLen+,136.70666666666668,0,69
MeanLen-,38.00167481689312,0,69
MeanEntropy,1.9429885,0,69
NumTrajs,300,0,70
NumTimesteps,39810,0,70
MaxRew,-10.764047036299887,0,70
MeanRew_lower,3.8478600678230768,0,70
MeanRew_upper,-14.69618611653486,0,70
MeanSlowdown,4.89681096156178,0,70
MeanLen+,132.7,0,70
MeanLen-,25.147763320025103,0,70
MeanEntropy,1.9789665,0,70
NumTrajs,300,0,71
NumTimesteps,39704,0,71
MaxRew,-11.02343464966981,0,71
MeanRew_lower,3.9198978306398944,0,71
MeanRew_upper,-14.925943478970558,0,71
MeanSlowdown,5.006424242424242,0,71
MeanLen+,132.34666666666666,0,71
MeanLen-,19.58144927107173,0,71
MeanEntropy,1.9406804,0,71
NumTrajs,300,0,72
NumTimesteps,39259,0,72
MaxRew,-10.619272732645392,0,72
MeanRew_lower,4.133322287605703,0,72
MeanRew_upper,-14.66147427936795,0,72
MeanSlowdown,4.916,0,72
MeanLen+,130.86333333333334,0,72
MeanLen-,19.240183355559676,0,72
MeanEntropy,2.024147,0,72
NumTrajs,300,0,73
NumTimesteps,39288,0,73
MaxRew,-11.256655032393436,0,73
MeanRew_lower,3.8719206183491437,0,73
MeanRew_upper,-15.087927406748822,0,73
MeanSlowdown,4.95830303030303,0,73
