iteration,job object,job ID,job Length,job ressource requirement,job enter time,job start time,job finish time,job waiting time,current time
<environment.Job instance at 0x7f335ed9ddc0>,12,20,[2 6],13,59,79,50
<environment.Job instance at 0x7f335ed9d2d0>,13,15,[5 1],14,60,75,50
<environment.Job instance at 0x7f335ed9db40>,14,25,[2 8],15,60,85,56
<environment.Job instance at 0x7f33602f4960>,0,17,[7 5],1,1,18,1
<environment.Job instance at 0x7f33602f40a0>,3,15,[4 6],4,7,22,7
<environment.Job instance at 0x7f33602f4820>,6,15,[5 3],7,18,33,7
<environment.Job instance at 0x7f33602f4e60>,7,18,[1 5],8,18,36,8
<environment.Job instance at 0x7f33602f4190>,4,21,[3 8],5,33,54,25
<environment.Job instance at 0x7f33602f4320>,9,13,[1 7],10,36,49,25
<environment.Job instance at 0x7f335ed9d640>,1,12,[3 8],2,54,66,37
<environment.Job instance at 0x7f335ff7f910>,11,25,[12  4],12,49,74,45
<environment.Job instance at 0x7f335ff7f690>,12,2,[5 7],13,74,76,47
<environment.Job instance at 0x7f335fbd25f0>,0,25,[14  4],1,1,26,1
<environment.Job instance at 0x7f335fbd2c30>,1,2,[4 8],2,26,28,2
<environment.Job instance at 0x7f335f54ebe0>,5,3,[10  2],6,26,29,7
<environment.Job instance at 0x7f335f54ef50>,7,3,[ 5 11],8,28,31,8
<environment.Job instance at 0x7f335f54efa0>,8,2,[ 2 12],9,31,33,10
<environment.Job instance at 0x7f335f54ecd0>,4,1,[3 8],5,33,34,11
<environment.Job instance at 0x7f335ff7f690>,3,3,[7 4],4,33,36,13
<environment.Job instance at 0x7f335f5430f0>,10,16,[3 8],11,34,50,21
<environment.Job instance at 0x7f335f543320>,12,3,[8 4],13,36,39,22
<environment.Job instance at 0x7f335ed58140>,2,16,[5 5],3,39,55,27
<environment.Job instance at 0x7f335f5433c0>,13,15,[5 8],14,50,65,45
<environment.Job instance at 0x7f335f543050>,15,2,[10  4],16,55,57,46
<environment.Job instance at 0x7f335f5432d0>,16,16,[6 3],17,57,73,48
<environment.Job instance at 0x7f335f543550>,17,14,[5 7],18,65,79,52
<environment.Job instance at 0x7f335f262050>,0,2,[13  5],1,1,3,1
<environment.Job instance at 0x7f335f5435a0>,1,2,[1 8],2,2,4,2
<environment.Job instance at 0x7f335f262d20>,2,16,[10  3],3,3,19,3
<environment.Job instance at 0x7f335f2626e0>,5,13,[6 4],6,19,32,7
<environment.Job instance at 0x7f335f262e60>,8,19,[1 5],9,20,39,20
<environment.Job instance at 0x7f335f262eb0>,6,14,[10  3],7,32,46,20
<environment.Job instance at 0x7f335f2629b0>,9,18,[2 9],10,39,57,30
<environment.Job instance at 0x7f335f262f50>,11,13,[6 5],12,46,59,30
<environment.Job instance at 0x7f335f2624b0>,10,18,[10  4],11,59,77,48
<environment.Job instance at 0x7f335f350960>,0,22,[5 9],1,1,23,1
<environment.Job instance at 0x7f335ed584b0>,2,1,[ 4 14],3,23,24,4
<environment.Job instance at 0x7f335f47f0a0>,6,14,[8 5],7,8,22,8
<environment.Job instance at 0x7f335f47f820>,7,17,[2 5],8,24,41,12
<environment.Job instance at 0x7f335fe89730>,8,2,[ 5 14],9,41,43,14
<environment.Job instance at 0x7f335f47ff50>,9,13,[3 9],10,24,37,14
<environment.Job instance at 0x7f335fe89b40>,10,1,[ 5 14],11,43,44,15
<environment.Job instance at 0x7f335f58f050>,11,1,[10  5],12,22,23,15
<environment.Job instance at 0x7f335f47fa50>,5,21,[7 1],6,23,44,22
<environment.Job instance at 0x7f335fe89550>,13,2,[ 4 11],14,44,46,22
<environment.Job instance at 0x7f335fe89870>,14,14,[ 5 12],15,46,60,31
<environment.Job instance at 0x7f335f47f320>,4,19,[6 3],5,44,63,36
<environment.Job instance at 0x7f335f47faf0>,1,13,[ 4 10],2,60,73,44
<environment.Job instance at 0x7f335f57dc30>,17,18,[11  5],18,63,81,52
<environment.Job instance at 0x7f335f57d5a0>,18,12,[3 8],19,73,85,56
<environment.Job instance at 0x7f335f445e60>,0,18,[7 1],1,1,19,1
<environment.Job instance at 0x7f335f6cb820>,4,26,[1 5],5,6,32,6
<environment.Job instance at 0x7f335f57d5a0>,2,13,[3 6],3,12,25,12
<environment.Job instance at 0x7f335ed58d70>,3,18,[ 3 10],4,25,43,15
<environment.Job instance at 0x7f335f6cb690>,5,22,[11  4],6,32,54,25
<environment.Job instance at 0x7f335f6cb960>,9,1,[3 7],10,43,44,25
<environment.Job instance at 0x7f335f6cb780>,10,15,[11  4],11,54,69,41
<environment.Job instance at 0x7f335f4454b0>,1,16,[1 8],2,56,72,56
<environment.Job instance at 0x7f335f6cbcd0>,12,2,[ 1 14],13,72,74,58
<environment.Job instance at 0x7f335f58ebe0>,0,2,[1 6],1,1,3,1
<environment.Job instance at 0x7f335f58e960>,1,12,[11  1],2,2,14,2
<environment.Job instance at 0x7f335f58eb40>,2,15,[4 9],3,3,18,3
<environment.Job instance at 0x7f335f58e550>,3,15,[13  2],4,18,33,4
<environment.Job instance at 0x7f335f58e140>,8,12,[6 2],9,33,45,16
<environment.Job instance at 0x7f335f6b6d20>,5,2,[ 4 12],6,33,35,18
<environment.Job instance at 0x7f335f58ed70>,6,1,[10  1],7,45,46,18
<environment.Job instance at 0x7f335f867fa0>,11,16,[1 9],12,35,51,24
<environment.Job instance at 0x7f335f58e910>,7,28,[3 6],8,46,74,45
<environment.Job instance at 0x7f335f8673c0>,13,2,[5 5],14,51,53,45
<environment.Job instance at 0x7f335f867c30>,14,28,[6 5],15,53,81,52
<environment.Job instance at 0x7f335f882780>,0,18,[9 5],1,1,19,1
<environment.Job instance at 0x7f335f49a0a0>,5,17,[6 5],6,6,23,6
<environment.Job instance at 0x7f335f49a870>,3,3,[9 1],4,19,22,9
<environment.Job instance at 0x7f336021d370>,6,23,[11  3],7,23,46,17
<environment.Job instance at 0x7f335f124140>,8,16,[ 5 10],9,46,62,33
<environment.Job instance at 0x7f335ee8fd70>,9,1,[6 1],10,46,47,33
<environment.Job instance at 0x7f335ee8f960>,10,15,[5 2],11,47,62,33
<environment.Job instance at 0x7f335f791230>,11,13,[12  5],12,62,75,46
<environment.Job instance at 0x7f335fe5c640>,0,28,[13  5],1,1,29,1
<environment.Job instance at 0x7f335f4ec370>,3,3,[5 2],4,29,32,4
<environment.Job instance at 0x7f335fbc6410>,4,2,[ 2 14],5,32,34,5
<environment.Job instance at 0x7f335f1687d0>,6,1,[4 6],7,29,30,8
<environment.Job instance at 0x7f335f006730>,8,3,[14  5],9,34,37,9
<environment.Job instance at 0x7f335f31f320>,9,1,[ 3 12],10,30,31,10
<environment.Job instance at 0x7f335ffd2c30>,10,16,[2 8],11,37,53,24
<environment.Job instance at 0x7f335f7812d0>,11,2,[5 6],12,37,39,24
<environment.Job instance at 0x7f335ffd2cd0>,12,13,[ 2 13],13,53,66,37
<environment.Job instance at 0x7f335ffd2b90>,13,23,[5 1],14,43,66,43
<environment.Job instance at 0x7f335ffd2af0>,14,14,[ 3 13],15,66,80,51
<environment.Job instance at 0x7f335ffd2550>,15,13,[5 1],16,58,71,58
<environment.Job instance at 0x7f335f729730>,0,24,[7 3],1,1,25,1
<environment.Job instance at 0x7f335f7296e0>,1,13,[1 9],2,3,16,3
<environment.Job instance at 0x7f335f729a00>,3,13,[1 7],4,16,29,4
<environment.Job instance at 0x7f335f729370>,5,2,[5 5],6,16,18,6
<environment.Job instance at 0x7f335f729190>,6,2,[ 5 13],7,29,31,7
<environment.Job instance at 0x7f335f729dc0>,7,13,[ 1 14],8,31,44,15
<environment.Job instance at 0x7f335f729910>,8,2,[ 1 10],9,44,46,20
<environment.Job instance at 0x7f335f484cd0>,9,13,[7 5],10,44,57,28
<environment.Job instance at 0x7f335f484eb0>,11,1,[9 1],12,28,29,28
<environment.Job instance at 0x7f335f2d85a0>,13,3,[8 2],14,46,49,28
